invoice_id,vendor_name,vendor_email,category,description,amount,currency,issue_date,due_date,paid_date,status,days_overdue,notes
INV-2024-0001,DesignStudio Pro,finance@designstudio.pro,Design,Brand Design Services,3166.98,EUR,2026-01-30,2026-03-01,2026-03-01,Paid,0,
INV-2024-0002,SecureNet Systems,billing@securenet.io,Security,Penetration Testing,17347.79,EUR,2026-05-10,2026-06-09,,Pending,0,
INV-2024-0003,Talent Bridge,finance@talentbridge.hr,HR Services,Recruitment Services,6182.76,EUR,2026-04-13,2026-05-13,,Pending,0,
INV-2024-0004,LegalEagle Partners,accounts@legaleagle.law,Legal,Contract Review,11633.15,EUR,2026-03-19,2026-04-18,,Overdue,23,
INV-2024-0005,MarketMind Agency,billing@marketmind.agency,Marketing,SEO Services,10676.72,EUR,2026-01-15,2026-02-14,2026-02-13,Paid,0,
INV-2024-0006,DesignStudio Pro,finance@designstudio.pro,Design,Design Sprint,5339.78,EUR,2026-03-27,2026-04-26,,Overdue,15,
INV-2024-0007,TechFlow Solutions,billing@techflow.io,Software,License Renewal,12748.16,EUR,2026-03-08,2026-04-07,2026-04-06,Paid,0,
INV-2024-0008,Talent Bridge,finance@talentbridge.hr,HR Services,Recruitment Services,1243.31,EUR,2026-04-20,2026-05-20,,Pending,0,
INV-2024-0009,LegalEagle Partners,accounts@legaleagle.law,Legal,Contract Review,13300.61,EUR,2026-01-11,2026-02-10,2026-02-09,Paid,0,
INV-2024-0010,OfficeSupply Direct,orders@officesupply.com,Office,Printing Services,12214.07,EUR,2026-02-18,2026-03-20,2026-03-15,Paid,0,
INV-2024-0011,CloudBase Infrastructure,accounts@cloudbase.com,Infrastructure,Database Hosting,7538.19,EUR,2026-04-23,2026-05-23,,Pending,0,
INV-2024-0012,CloudBase Infrastructure,accounts@cloudbase.com,Infrastructure,CDN Services,16191.68,EUR,2026-01-24,2026-02-23,2026-02-21,Paid,0,
INV-2024-0013,OfficeSupply Direct,orders@officesupply.com,Office,Office Supplies Q2,1402.99,EUR,2026-03-01,2026-03-31,,Overdue,41,
INV-2024-0014,DesignStudio Pro,finance@designstudio.pro,Design,Brand Design Services,4649.73,EUR,2026-05-09,2026-06-08,,Pending,0,
INV-2024-0015,TechFlow Solutions,billing@techflow.io,Software,API Usage Fees,9246.95,EUR,2026-02-20,2026-03-22,2026-03-17,Paid,0,
INV-2024-0016,SecureNet Systems,billing@securenet.io,Security,Penetration Testing,3610.04,EUR,2026-02-15,2026-03-17,,Overdue,55,
INV-2024-0017,Analytics Plus,invoices@analyticsplus.co,Analytics,BI Dashboard Setup,9651.5,EUR,2026-04-18,2026-05-18,,Pending,0,
